**Characteristic**,**N**,"**Overall**  
N = 5038","**eGFR ≥60**  
N = 4611","**CKD G3–G5**  
N = 427",**p-value**
"__All-cause mortality, n (%)__","5,038",102 (2.0%),65 (1.4%),37 (8.7%),<0.001
"__Follow-up, years__","5,038","2.1 (1.5, 2.6)","2.1 (1.5, 2.6)","1.9 (1.4, 2.6)",0.002
"__eGFR, mL/min/1.73m²__","5,038","97.3 (80.1, 111.7)","99.5 (85.5, 113.0)","49.6 (40.0, 56.2)",<0.001
__CKD stage (KDIGO G-category)__,"5,038",NA,NA,NA,<0.001
G1 (≥90),NA,"3,152 (62.6%)","3,152 (68.4%)",0 (0.0%),NA
G2 (60–89),NA,"1,459 (29.0%)","1,459 (31.6%)",0 (0.0%),NA
G3a (45–59),NA,275 (5.5%),0 (0.0%),275 (64.4%),NA
G3b (30–44),NA,107 (2.1%),0 (0.0%),107 (25.1%),NA
G4 (15–29),NA,30 (0.6%),0 (0.0%),30 (7.0%),NA
G5 (<15),NA,15 (0.3%),0 (0.0%),15 (3.5%),NA
"__UACR, mg/g__","4,971","9.2 (4.6, 18.9)","8.8 (4.5, 17.2)","20.9 (8.6, 79.2)",<0.001
Unknown,NA,67,42,25,NA
__Albuminuria category__,"4,971",NA,NA,NA,<0.001
A1 (normal),NA,"4,188 (84.2%)","3,959 (86.6%)",229 (57.0%),NA
A2 (moderately increased),NA,665 (13.4%),542 (11.9%),123 (30.6%),NA
A3 (severely increased),NA,118 (2.4%),68 (1.5%),50 (12.4%),NA
Unknown,NA,67,42,25,NA
"__Age, years__","5,038","52.0 (34.0, 64.0)","49.0 (32.0, 62.0)","73.0 (65.0, 80.0)",<0.001
__Sex__,"5,038",NA,NA,NA,0.430
Male,NA,"2,427 (48.2%)","2,213 (48.0%)",214 (50.1%),NA
Female,NA,"2,611 (51.8%)","2,398 (52.0%)",213 (49.9%),NA
__Race/ethnicity__,"4,338",NA,NA,NA,<0.001
Mexican American,NA,709 (16.3%),684 (17.4%),25 (6.1%),NA
Other Hispanic,NA,477 (11.0%),456 (11.6%),21 (5.2%),NA
Non-Hispanic White,NA,"1,769 (40.8%)","1,580 (40.2%)",189 (46.4%),NA
Non-Hispanic Black,NA,"1,117 (25.7%)",959 (24.4%),158 (38.8%),NA
Non-Hispanic Asian,NA,266 (6.1%),252 (6.4%),14 (3.4%),NA
Other/Multiracial,NA,0 (0.0%),0 (0.0%),0 (0.0%),NA
Unknown,NA,700,680,20,NA
__Income category__,"4,403",NA,NA,NA,0.160
Below poverty,NA,853 (19.4%),785 (19.5%),68 (17.9%),NA
Low income,NA,"1,245 (28.3%)","1,121 (27.9%)",124 (32.7%),NA
Middle income,NA,"1,182 (26.8%)","1,079 (26.8%)",103 (27.2%),NA
High income,NA,"1,123 (25.5%)","1,039 (25.8%)",84 (22.2%),NA
Unknown,NA,635,587,48,NA
"__BMI, kg/m²__","5,038","28.5 (24.7, 33.6)","28.4 (24.5, 33.5)","30.0 (25.9, 34.1)",<0.001
__BMI category__,"5,038",NA,NA,NA,<0.001
Underweight,NA,82 (1.6%),81 (1.8%),1 (0.2%),NA
Normal,NA,"1,258 (25.0%)","1,181 (25.6%)",77 (18.0%),NA
Overweight,NA,"1,597 (31.7%)","1,463 (31.7%)",134 (31.4%),NA
Obese,NA,"2,101 (41.7%)","1,886 (40.9%)",215 (50.4%),NA
"__HbA1c, %__","5,038","5.6 (5.3, 6.0)","5.5 (5.3, 5.9)","5.9 (5.6, 6.6)",<0.001
"__Diabetes, n (%)__","5,038",948 (18.8%),776 (16.8%),172 (40.3%),<0.001
"__Systolic BP, mmHg__","4,482","121.0 (110.0, 136.0)","121.0 (110.0, 134.0)","134.0 (119.0, 152.0)",<0.001
Unknown,NA,556,496,60,NA
"__Diastolic BP, mmHg__","4,482","74.0 (67.0, 82.0)","74.0 (67.0, 82.0)","72.0 (64.0, 82.0)",0.007
Unknown,NA,556,496,60,NA
"__Hypertension, n (%)__","5,038","1,840 (36.5%)","1,517 (32.9%)",323 (75.6%),<0.001
__Physical activity category__,"5,038",NA,NA,NA,<0.001
Sedentary,NA,"2,685 (53.3%)","2,415 (52.4%)",270 (63.2%),NA
Low active,NA,363 (7.2%),320 (6.9%),43 (10.1%),NA
Active,NA,"1,990 (39.5%)","1,876 (40.7%)",114 (26.7%),NA
__Smoking status__,"5,038",NA,NA,NA,<0.001
Never,NA,"2,988 (59.3%)","2,793 (60.6%)",195 (45.7%),NA
Current/Former,NA,"2,050 (40.7%)","1,818 (39.4%)",232 (54.3%),NA
