term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
ckd_stageG2 (60–89),1.0915941251757024,0.3167379088298415,0.27669289196937547,0.7820159302583097,0.5867503980492492,2.030808565413349,All-cause
ckd_stageG3a (45–59),1.1965639659458218,0.4197945006260861,0.42748079727603494,0.6690291687493145,0.5255405041316936,2.724367224493152,All-cause
ckd_stageG3b (30–44),1.751465874316013,0.4624997599521752,1.2117910717034859,0.22559236685414247,0.707491408791304,4.335929271755224,All-cause
ckd_stageG4 (15–29),0.758016404087263,1.081015595487785,-0.2562870077492721,0.7977292286372125,0.09109959811653293,6.307260193731935,All-cause
ckd_stageG5 (<15),1.4698891480601204e-7,2914.531455030619,-0.005398091907822192,0.9956929667263555,0,Inf,All-cause
ckd_stageG2 (60–89),3.1789856861144687,0.8201049399062853,1.4102612031734645,0.1584625698171996,0.6371093548505434,15.862190557367327,Cardiovascular
ckd_stageG3a (45–59),3.483382527624117,0.9391856824166722,1.3288147762161149,0.18390908601571768,0.5527959682244078,21.95014893601973,Cardiovascular
ckd_stageG3b (30–44),1.5112696599090283,1.2992199358137404,0.31784467011109835,0.7506027645060832,0.11842515157005547,19.28590299173455,Cardiovascular
ckd_stageG4 (15–29),7.30734364898054,1.3871269923278713,1.4338123566256336,0.15162581780941162,0.48198652336920733,110.78581789182782,Cardiovascular
ckd_stageG5 (<15),NA,0,NA,NA,NA,NA,Cardiovascular
ckd_stageG2 (60–89),NA,0,NA,NA,NA,NA,Renal/CKD-specific
ckd_stageG3a (45–59),NA,0,NA,NA,NA,NA,Renal/CKD-specific
ckd_stageG3b (30–44),NA,0,NA,NA,NA,NA,Renal/CKD-specific
ckd_stageG4 (15–29),NA,0,NA,NA,NA,NA,Renal/CKD-specific
ckd_stageG5 (<15),NA,0,NA,NA,NA,NA,Renal/CKD-specific
